time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2018-09-20 07:00:00,62.2524590163934,374.322950819672,19.83,100,1.08621043114754,0,0
2018-09-20 08:00:00,218.014754098361,382.513114754098,21.53,99.7,0.819946790016393,0,0
2018-09-20 09:00:00,424.601639344262,398.755737704918,25.42,82.3,2.0495736147541,0,0
2018-09-20 10:00:00,660.862295081967,398.470491803279,25.21,77.52,1.92073164590164,0,0
2018-09-20 11:00:00,635.660655737705,420.140983606557,25.99,71.81,1.82182691229508,0,0
2018-09-20 12:00:00,711.972131147541,429.265573770492,26.41,73.02,1.8079491295082,0,0
2018-09-20 13:00:00,591.075409836066,425.24262295082,28.26,68.1,1.63307376721311,0,0
2018-09-20 14:00:00,662.760655737705,428.196721311475,27.99,66.24,1.93163959672131,0,0
2018-09-20 15:00:00,323.037704918033,438.929508196721,28.21,68.06,1.09937324360656,0,0
2018-09-20 16:00:00,75.5867213114754,455.786885245902,27.78,74.28,0.94143736557377,0,0
2018-09-20 17:00:00,43.8752459016393,421.090163934426,25.46,89.8,0.651029600327869,0,0
2018-09-20 18:00:00,2.89747540983607,406.081967213115,24.27,91.1,0.903598754098361,0,0
2018-09-20 19:00:00,0.0414754098360656,411.985245901639,23.17,94.7,1.03652886688525,0,0
2018-09-20 20:00:00,0,404.118032786885,23.98,89.2,1.05366993606557,0,0
2018-09-20 21:00:00,0,408.491803278689,23.29,90.1,0.790816160655738,0,0
2018-09-20 22:00:00,0,434.64262295082,23.21,92.8,1.75218118360656,0,0
2018-09-20 23:00:00,0,439.562295081967,23.05,92.8,2.16409784262295,0,0
2018-09-21 00:00:00,0,440.118032786885,22.99,93.9,2.3247652295082,0,0
2018-09-21 01:00:00,0,435.855737704918,22.6,95,2.47520304918033,0,0
2018-09-21 02:00:00,0,422.873770491803,22.95,94,2.3049293295082,0,0
2018-09-21 03:00:00,0,417.936065573771,22.63,94.5,2.25909764918033,0,0
2018-09-21 04:00:00,0,427.101639344262,23.06,98,2.01897638852459,0,0
2018-09-21 05:00:00,0,425.03606557377,23.11,100,1.61114791803279,0,0
2018-09-21 06:00:00,21.2338196721311,418.152459016393,22.48,100,1.34092449508197,0,0
2018-09-21 07:00:00,96.9872131147541,402.245901639344,22.47,99.1,1.66438596393443,0,0
2018-09-21 08:00:00,257.534426229508,396.837704918033,23.03,94.1,2.1936867,0,0
2018-09-21 09:00:00,508.767213114754,423.818032786885,23.53,88.9,2.13892699180328,0,0
2018-09-21 10:00:00,352.940983606557,435.355737704918,23.88,83.2,2.03378918688525,0,0
2018-09-21 11:00:00,517.668852459016,424.132786885246,24.9,77.96,1.75419774704918,0,0
2018-09-21 12:00:00,761.606557377049,414.93606557377,26.32,70.2,1.30638566885246,0,0
2018-09-21 13:00:00,671.531147540984,417.929508196721,27.88,66.71,1.63118555081967,0,0
2018-09-21 14:00:00,577.091803278689,425.362295081967,28.8,63.41,1.63509036557377,0,0
2018-09-21 15:00:00,479.631147540984,436.595081967213,28.1,70.87,1.83339489016393,0,0
2018-09-21 16:00:00,131.80393442623,420.050819672131,28.06,66.51,1.2263636704918,0,0
2018-09-21 17:00:00,29.672131147541,417.222950819672,26.01,78.52,0.58237375704918,0,0
2018-09-21 18:00:00,1.16181967213115,409.145901639344,24.13,86.5,0.267803570213115,0,0
2018-09-21 19:00:00,0,407.954098360656,22.64,93,0.423722906229508,0,0
2018-09-21 20:00:00,0,393.022950819672,22.92,90.8,0.639773318360656,0,0
2018-09-21 21:00:00,0,402.568852459016,22.71,97.5,0.532838934229508,0,0
2018-09-21 22:00:00,0,386.983606557377,21.92,97.7,0.960411645901639,0,0
2018-09-21 23:00:00,0,381.947540983607,21.32,98.8,1.2194522,0,0
2018-09-22 00:00:00,0,378.404918032787,20.77,99.2,1.88771449180328,0,0
2018-09-22 01:00:00,0,376.198360655738,20.3,99.3,1.38978099344262,0,0
2018-09-22 02:00:00,0,377.673770491803,20.55,99.4,1.15481127152459,0,0
2018-09-22 03:00:00,0,377.427868852459,20.85,97.8,2.10059345245902,0,0
2018-09-22 04:00:00,0,377.627868852459,22.66,84.1,3.50485714754098,0,0
2018-09-22 05:00:00,0,379.737704918033,22.85,82.3,3.20330324590164,0,0
2018-09-22 06:00:00,12.4528852459016,378.863934426229,22.64,83.7,3.35485942622951,0,0
2018-09-22 07:00:00,46.7604918032787,381.626229508197,21.43,95.6,1.55994470213115,0,0
2018-09-22 08:00:00,216.411639344262,386.808196721311,22.22,90.2,1.30259079283607,0,0
2018-09-22 09:00:00,562.329508196721,404.783606557377,24.42,77.12,1.77086206557377,0,0
2018-09-22 10:00:00,558.67868852459,427.508196721311,25.15,71.98,1.77795687377049,0,0
2018-09-22 11:00:00,526.686885245902,427.509836065574,26.02,68.03,0.939457429672131,0,0
2018-09-22 12:00:00,594.226229508197,441.862295081967,28,68.68,1.22205540786885,0,0
2018-09-22 13:00:00,468.360655737705,451.503278688525,27.52,66.3,2.02134142459016,0,0
2018-09-22 14:00:00,122.251639344262,468.811475409836,27.16,70.58,0.932527677704918,0.048768,0
2018-09-22 15:00:00,91.2804918032787,459.190163934426,23.98,91.3,1.7394216295082,0.103632,0
