time,FLOW,TEMP,type,outflow_num
2018-10-05,0.006,19.1747,outflow,1
2018-10-06,0.008,19.128,outflow,1
2018-10-07,0.0088,19.1502,outflow,1
2018-10-08,0.0101,19.0782,outflow,1
2018-10-09,0.0118,19.0128,outflow,1
2018-10-10,0.0132,18.9585,outflow,1
2018-10-11,0.014,18.9458,outflow,1
2018-10-12,0.0156,18.8727,outflow,1
2018-10-13,0.0165,18.7118,outflow,1
2018-10-14,0.0213,18.6309,outflow,1
2018-10-15,0.0217,18.0835,outflow,1
2018-10-16,0.0216,17.4708,outflow,1
2018-10-17,0.0216,17.0006,outflow,1
2018-10-18,0.0215,16.5375,outflow,1
2018-10-19,0.0215,16.0532,outflow,1
2018-10-20,0.0216,15.6541,outflow,1
