time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0061,19.1868,outflow,1
2018-10-06,0.0078,19.139,outflow,1
2018-10-07,0.0086,19.1376,outflow,1
2018-10-08,0.0103,19.0647,outflow,1
2018-10-09,0.0122,19.0332,outflow,1
2018-10-10,0.0141,18.9499,outflow,1
2018-10-11,0.0154,18.9156,outflow,1
2018-10-12,0.0157,18.9326,outflow,1
2018-10-13,0.016,18.8932,outflow,1
2018-10-14,0.0181,18.8982,outflow,1
2018-10-15,0.0184,18.4781,outflow,1
2018-10-16,0.0185,17.9389,outflow,1
2018-10-17,0.0186,17.542,outflow,1
2018-10-18,0.0187,17.1383,outflow,1
2018-10-19,0.0188,16.779,outflow,1
2018-10-20,0.0189,16.5025,outflow,1
