time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0054,19.1478,outflow,1
2018-10-06,0.0066,19.0883,outflow,1
2018-10-07,0.0074,19.0996,outflow,1
2018-10-08,0.0085,19.0383,outflow,1
2018-10-09,0.0095,18.9619,outflow,1
2018-10-10,0.0111,18.913,outflow,1
2018-10-11,0.0127,18.8775,outflow,1
2018-10-12,0.0134,18.774,outflow,1
2018-10-13,0.014,18.6882,outflow,1
2018-10-14,0.0215,18.6581,outflow,1
2018-10-15,0.0294,18.3094,outflow,1
2018-10-16,0.0388,17.7836,outflow,1
2018-10-17,0.049,17.352,outflow,1
2018-10-18,0.0494,17.1336,outflow,1
2018-10-19,0.0479,16.5602,outflow,1
2018-10-20,0.0465,16.0856,outflow,1
