time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0059,19.184,outflow,1
2018-10-06,0.008,19.1616,outflow,1
2018-10-07,0.0088,19.175,outflow,1
2018-10-08,0.0106,19.0614,outflow,1
2018-10-09,0.0133,19.0182,outflow,1
2018-10-10,0.0144,18.9739,outflow,1
2018-10-11,0.0349,18.9207,outflow,1
2018-10-12,0.0342,18.7748,outflow,1
2018-10-13,0.0335,18.5582,outflow,1
2018-10-14,0.0347,18.4256,outflow,1
2018-10-15,0.034,18.1598,outflow,1
2018-10-16,0.0333,17.6715,outflow,1
2018-10-17,0.0327,17.2758,outflow,1
2018-10-18,0.0323,16.871,outflow,1
2018-10-19,0.0322,16.5165,outflow,1
2018-10-20,0.0316,16.1476,outflow,1
