time,FLOW,TEMP,SALT
2013-09-25,0.019944661,16.46395833,0
2013-09-26,0.020136099,16.800625,0
2013-09-27,0.019870136,16.13,0
2013-09-28,0.018994174,16.00291667,0
2013-09-29,0.019326967,15.34354167,0
2013-09-30,0.018472237,15.7184375,0
2013-10-01,0.018520284,16.50375,0
2013-10-02,0.018450837,16.8859375,0
2013-10-03,0.017952761,17.45333333,0
2013-10-04,0.017905933,17.97010417,0
2013-10-05,0.017968999,18.47489583,0
2013-10-06,0.017082198,18.5284375,0
2013-10-07,0.029324781,17.54427083,0
2013-10-08,0.019760667,15.19729167,0
2013-10-09,0.018354081,14.64604167,0
2013-10-10,0.020892811,14.56625,0
2013-10-11,0.019571843,15.84927083,0
2013-10-12,0.019247074,16.09604167,0
2013-10-13,0.018356064,16.16083333,0
2013-10-14,0.018995605,15.85541667,0
2013-10-15,0.017844792,15.185,0
2013-10-16,0.017397937,15.4340625,0
2013-10-17,0.017468454,16.0059375,0
2013-10-18,0.017706358,14.19770833,0
2013-10-19,0.016643277,13.9453125,0
2013-10-20,0.017219298,12.44229167,0
2013-10-21,0.016452682,12.46229167,0
2013-10-22,0.016353797,13.39125,0
2013-10-23,0.017971198,12.30729167,0
2013-10-24,0.017641672,10.13208333,0
2013-10-25,0.018021512,9.125729167,0
2013-10-26,0.016979012,8.846145833,0
2013-10-27,0.017191061,10.6071875,0
2013-10-28,0.017305062,11.3121875,0
2013-10-29,0.016802951,12.59,0
2013-10-30,0.01658263,13.15541667,0
2013-10-31,0.015810672,13.81375,0
2013-11-01,0.017683416,14.64083333,0
2013-11-02,0.018334746,12.66020833,0
2013-11-03,0.019417727,10.9240625,0
2013-11-04,0.018749083,9.453125,0
2013-11-05,0.018285838,9.2921875,0
2013-11-06,0.017720839,11.2809375,0
2013-11-07,0.019378613,11.25354167,0
2013-11-08,0.020364416,8.6040625,0
2013-11-09,0.019653103,8.140520833,0
2013-11-10,0.020190722,8.991145833,0
2013-11-11,0.019464432,8.2778125,0
2013-11-12,0.021383083,7.979583333,0
2013-11-13,0.021162993,5.575520833,0
2013-11-14,0.020259352,6.1878125,0
2013-11-15,0.020519029,7.285416667,0
2013-11-16,0.022861382,9.419375,0
2013-11-17,0.019802505,10.46447917,0
2013-11-18,0.022691584,10.3678125,0
2013-11-19,0.022338165,7.515729167,0
2013-11-20,0.021198023,6.689375,0
2013-11-21,0.020091976,7.589895833,0
2013-11-22,0.019477765,9.519375,0
2013-11-23,0.02165329,8.5853125,0
2013-11-24,0.023168989,3.940416667,0
2013-11-25,0.021425748,3.7225,0
2013-11-26,0.038074681,5.255520833,0
2013-11-27,0.039524682,5.712916667,0
2013-11-28,0.024955924,3.5321875,0
2013-11-29,0.020936822,3.93875,0
2013-11-30,0.019072312,3.7234375,0
2013-12-01,0.018783465,4.051770833,0
2013-12-02,0.018081933,5.516041667,0
2013-12-03,0.018251831,6.367395833,0
2013-12-04,0.017430453,7.643229167,0
2013-12-05,0.016705818,9.055208333,0
2013-12-06,0.021667541,11.24354167,0
2013-12-07,0.032737166,8.711979167,0
2013-12-08,0.024122573,5.590416667,0
2013-12-09,0.02607407,5.8421875,0
2013-12-10,0.030729923,5.9584375,0
2013-12-11,0.02682006,4.214583333,0
2013-12-12,0.023695675,3.385625,0
2013-12-13,0.021490353,3.211145833,0
2013-12-14,0.021131342,4.335416667,0
2013-12-15,0.021942615,4.750520833,0
2013-12-16,0.020498531,4.292291667,0
2013-12-17,0.019839729,4.820520833,0
2013-12-18,0.020499923,3.5346875,0
2013-12-19,0.018919256,4.332291667,0
2013-12-20,0.018474374,5.5809375,0
2013-12-21,0.018098669,7.355416667,0
2013-12-22,0.019818151,9.934583333,0
2013-12-23,0.04427695,9.289166667,0
2013-12-24,0.032640563,5.097916667,0
2013-12-25,0.025672179,2.771041667,0
2013-12-26,0.023218011,3.13875,0
2013-12-27,0.021563223,3.387604167,0
2013-12-28,0.020142335,4.031354167,0
2013-12-29,0.038085443,5.925520833,0
2013-12-30,0.032461581,5.933958333,0
2013-12-31,0.027237238,4.359583333,0
2014-01-01,0.0240453,3.787604167,0
2014-01-02,0.022482326,4.230520833,0
2014-01-03,0.026626862,1.320520833,0
2014-01-04,0.022318077,1.0665625,0
2014-01-05,0.021337529,3.471875,0
2014-01-06,0.024011288,3.181770833,0
2014-01-07,0.041230393,0.253229167,0
2014-01-08,0.033298735,0.280416667,0
2014-01-09,0.020909902,1.220416667,0
2014-01-10,0.022163085,2.7440625,0
2014-01-11,0.03399388,4.640520833,0
2014-01-12,0.034559993,4.477708333,0
2014-01-13,0.027627962,4.4509375,0
2014-01-14,0.026561056,5.342916667,0
2014-01-15,0.025525268,4.3178125,0
2014-01-16,0.024566011,2.815208333,0
2014-01-17,0.02351457,3.0428125,0
2014-01-18,0.024361165,1.730416667,0
2014-01-19,0.022784955,2.380625,0
