time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0063,19.1788,outflow,1
2018-10-06,0.0078,19.133,outflow,1
2018-10-07,0.0087,19.1004,outflow,1
2018-10-08,0.0099,19.0684,outflow,1
2018-10-09,0.0134,19.0314,outflow,1
2018-10-10,0.0151,18.973,outflow,1
2018-10-11,0.0238,18.9455,outflow,1
2018-10-12,0.0273,18.9465,outflow,1
2018-10-13,0.0271,18.9257,outflow,1
2018-10-14,0.0279,18.9219,outflow,1
2018-10-15,0.0321,18.7725,outflow,1
2018-10-16,0.0315,18.3227,outflow,1
2018-10-17,0.031,17.8029,outflow,1
2018-10-18,0.0304,17.2679,outflow,1
2018-10-19,0.0299,16.8522,outflow,1
2018-10-20,0.0295,16.4821,outflow,1
