time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0063,19.1865,outflow,1
2018-10-06,0.0084,19.1401,outflow,1
2018-10-07,0.0094,19.1117,outflow,1
2018-10-08,0.0102,19.048,outflow,1
2018-10-09,0.0119,18.9703,outflow,1
2018-10-10,0.0134,18.9189,outflow,1
2018-10-11,0.014,18.8904,outflow,1
2018-10-12,0.0151,18.8388,outflow,1
2018-10-13,0.0168,18.8313,outflow,1
2018-10-14,0.0438,18.698,outflow,1
2018-10-15,0.057,18.2948,outflow,1
2018-10-16,0.0552,17.9032,outflow,1
2018-10-17,0.0534,17.4242,outflow,1
2018-10-18,0.0517,16.9239,outflow,1
2018-10-19,0.0501,16.5492,outflow,1
2018-10-20,0.0485,16.2374,outflow,1
