time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0052,19.1773,outflow,1
2018-10-06,0.0073,19.1536,outflow,1
2018-10-07,0.0082,19.1823,outflow,1
2018-10-08,0.0089,19.1063,outflow,1
2018-10-09,0.0097,18.9964,outflow,1
2018-10-10,0.0119,18.9164,outflow,1
2018-10-11,0.0127,18.8675,outflow,1
2018-10-12,0.0132,18.8191,outflow,1
2018-10-13,0.0136,18.7538,outflow,1
2018-10-14,0.0139,18.5229,outflow,1
2018-10-15,0.0143,17.9742,outflow,1
2018-10-16,0.0147,17.5483,outflow,1
2018-10-17,0.0151,17.0766,outflow,1
2018-10-18,0.0154,16.5393,outflow,1
2018-10-19,0.0156,16.1474,outflow,1
2018-10-20,0.0159,15.888,outflow,1
