time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0066,19.1909,outflow,1
2018-10-06,0.0081,19.1294,outflow,1
2018-10-07,0.0089,19.1067,outflow,1
2018-10-08,0.0098,19.027,outflow,1
2018-10-09,0.0114,19.0008,outflow,1
2018-10-10,0.0129,18.9834,outflow,1
2018-10-11,0.0143,18.9077,outflow,1
2018-10-12,0.0288,18.8458,outflow,1
2018-10-13,0.0307,18.7486,outflow,1
2018-10-14,0.0302,18.2862,outflow,1
2018-10-15,0.0297,17.6972,outflow,1
2018-10-16,0.0293,17.1822,outflow,1
2018-10-17,0.0288,16.8194,outflow,1
2018-10-18,0.0284,16.4629,outflow,1
2018-10-19,0.028,16.0534,outflow,1
2018-10-20,0.0285,15.7703,outflow,1
