time,FLOW,TEMP,type,outflow_num
2018-10-05,0.007,19.1654,outflow,1
2018-10-06,0.0089,19.1097,outflow,1
2018-10-07,0.0096,19.0581,outflow,1
2018-10-08,0.0114,18.9623,outflow,1
2018-10-09,0.0124,18.9047,outflow,1
2018-10-10,0.0145,18.8591,outflow,1
2018-10-11,0.0154,18.8466,outflow,1
2018-10-12,0.0163,18.82,outflow,1
2018-10-13,0.0165,18.6636,outflow,1
2018-10-14,0.0172,18.3831,outflow,1
2018-10-15,0.0192,18.2761,outflow,1
2018-10-16,0.0194,18.0159,outflow,1
2018-10-17,0.0195,17.4904,outflow,1
2018-10-18,0.0196,17.2297,outflow,1
2018-10-19,0.0246,17.0389,outflow,1
2018-10-20,0.0244,16.657,outflow,1
