time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0057,19.1611,outflow,1
2018-10-06,0.0073,19.1059,outflow,1
2018-10-07,0.0081,19.1169,outflow,1
2018-10-08,0.0088,19.0465,outflow,1
2018-10-09,0.0097,18.965,outflow,1
2018-10-10,0.0109,18.915,outflow,1
2018-10-11,0.0121,18.8719,outflow,1
2018-10-12,0.0153,18.7836,outflow,1
2018-10-13,0.0165,18.7484,outflow,1
2018-10-14,0.0177,18.5479,outflow,1
2018-10-15,0.0289,18.4535,outflow,1
2018-10-16,0.0285,17.9933,outflow,1
2018-10-17,0.0281,17.464,outflow,1
2018-10-18,0.0277,16.9747,outflow,1
2018-10-19,0.0274,16.5184,outflow,1
2018-10-20,0.0273,16.2483,outflow,1
