time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0064,19.1816,outflow,1
2018-10-06,0.0085,19.16,outflow,1
2018-10-07,0.0093,19.1782,outflow,1
2018-10-08,0.0129,19.1355,outflow,1
2018-10-09,0.0146,19.076,outflow,1
2018-10-10,0.0156,19.0101,outflow,1
2018-10-11,0.0176,18.9606,outflow,1
2018-10-12,0.0178,18.9461,outflow,1
2018-10-13,0.0184,18.8945,outflow,1
2018-10-14,0.0201,18.8584,outflow,1
2018-10-15,0.0414,18.8482,outflow,1
2018-10-16,0.0404,18.376,outflow,1
2018-10-17,0.0393,17.7834,outflow,1
2018-10-18,0.0384,17.2521,outflow,1
2018-10-19,0.0375,16.8041,outflow,1
2018-10-20,0.0366,16.4196,outflow,1
