datetime,site_id,variable,observation
2022-09-07,fcre,OGM_dop,0.0306
2022-09-07,fcre,OGM_dopr,0.2756
2022-09-07,fcre,OGM_pop,0.7146
2022-09-07,fcre,PHY_cyano,0
2022-09-07,fcre,PHY_green,0
2022-09-07,fcre,PHY_diatom,0
2022-09-08,fcre,FLOW,0.0121
2022-09-08,fcre,TEMP,18.929
2022-09-08,fcre,SALT,0
2022-09-08,fcre,OXY_oxy,273.0361
2022-09-08,fcre,CAR_dic,95.2109
2022-09-08,fcre,CAR_ch4,NA
2022-09-08,fcre,SIL_rsi,120.9013
2022-09-08,fcre,NIT_amm,1.201
2022-09-08,fcre,NIT_nit,1.5108
2022-09-08,fcre,PHS_frp,0.2246
2022-09-08,fcre,OGM_doc,12.7671
2022-09-08,fcre,OGM_docr,172.3564
2022-09-08,fcre,OGM_poc,18.5124
2022-09-08,fcre,OGM_don,1.0637
2022-09-08,fcre,OGM_donr,9.5733
2022-09-08,fcre,OGM_pon,2.1274
2022-09-08,fcre,OGM_dop,0.031
2022-09-08,fcre,OGM_dopr,0.2794
2022-09-08,fcre,OGM_pop,0.7243
2022-09-08,fcre,PHY_cyano,0
2022-09-08,fcre,PHY_green,0
2022-09-08,fcre,PHY_diatom,0
2022-09-09,fcre,FLOW,0.0051
2022-09-09,fcre,TEMP,18.363
2022-09-09,fcre,SALT,0
2022-09-09,fcre,OXY_oxy,276.2045
2022-09-09,fcre,CAR_dic,94.0684
2022-09-09,fcre,CAR_ch4,NA
2022-09-09,fcre,SIL_rsi,120.9013
2022-09-09,fcre,NIT_amm,1.2491
2022-09-09,fcre,NIT_nit,1.428
2022-09-09,fcre,PHS_frp,0.2218
2022-09-09,fcre,OGM_doc,12.8782
2022-09-09,fcre,OGM_docr,173.8551
2022-09-09,fcre,OGM_poc,18.6733
2022-09-09,fcre,OGM_don,1.061
2022-09-09,fcre,OGM_donr,9.5494
2022-09-09,fcre,OGM_pon,2.1221
2022-09-09,fcre,OGM_dop,0.0315
2022-09-09,fcre,OGM_dopr,0.2831
2022-09-09,fcre,OGM_pop,0.7339
2022-09-09,fcre,PHY_cyano,0
2022-09-09,fcre,PHY_green,0
2022-09-09,fcre,PHY_diatom,0
2022-09-10,fcre,FLOW,0.0083
2022-09-10,fcre,TEMP,17.766
2022-09-10,fcre,SALT,0
2022-09-10,fcre,OXY_oxy,279.6186
2022-09-10,fcre,CAR_dic,92.9258
2022-09-10,fcre,CAR_ch4,NA
2022-09-10,fcre,SIL_rsi,120.9013
2022-09-10,fcre,NIT_amm,1.2971
2022-09-10,fcre,NIT_nit,1.3452
2022-09-10,fcre,PHS_frp,0.219
2022-09-10,fcre,OGM_doc,12.9892
2022-09-10,fcre,OGM_docr,175.3539
2022-09-10,fcre,OGM_poc,18.8343
2022-09-10,fcre,OGM_don,1.0584
2022-09-10,fcre,OGM_donr,9.5254
2022-09-10,fcre,OGM_pon,2.1168
2022-09-10,fcre,OGM_dop,0.0319
2022-09-10,fcre,OGM_dopr,0.2868
2022-09-10,fcre,OGM_pop,0.7436
2022-09-10,fcre,PHY_cyano,0
2022-09-10,fcre,PHY_green,0
2022-09-10,fcre,PHY_diatom,0
2022-09-11,fcre,FLOW,0.0089
2022-09-11,fcre,TEMP,18.5604
2022-09-11,fcre,SALT,0
2022-09-11,fcre,OXY_oxy,275.092
2022-09-11,fcre,CAR_dic,91.7833
2022-09-11,fcre,CAR_ch4,NA
2022-09-11,fcre,SIL_rsi,120.9013
2022-09-11,fcre,NIT_amm,1.3452
2022-09-11,fcre,NIT_nit,1.2624
2022-09-11,fcre,PHS_frp,0.2162
2022-09-11,fcre,OGM_doc,13.1002
2022-09-11,fcre,OGM_docr,176.8526
2022-09-11,fcre,OGM_poc,18.9953
2022-09-11,fcre,OGM_don,1.0557
2022-09-11,fcre,OGM_donr,9.5015
2022-09-11,fcre,OGM_pon,2.1114
2022-09-11,fcre,OGM_dop,0.0323
2022-09-11,fcre,OGM_dopr,0.2905
2022-09-11,fcre,OGM_pop,0.7532
2022-09-11,fcre,PHY_cyano,0
2022-09-11,fcre,PHY_green,0
2022-09-11,fcre,PHY_diatom,0
2022-09-12,fcre,FLOW,0.0063
2022-09-12,fcre,TEMP,19.3783
2022-09-12,fcre,SALT,0
2022-09-12,fcre,OXY_oxy,270.5662
2022-09-12,fcre,CAR_dic,90.6408
2022-09-12,fcre,CAR_ch4,NA
2022-09-12,fcre,SIL_rsi,120.9013
2022-09-12,fcre,NIT_amm,1.3932
2022-09-12,fcre,NIT_nit,1.1796
2022-09-12,fcre,PHS_frp,0.2134
2022-09-12,fcre,OGM_doc,13.2112
2022-09-12,fcre,OGM_docr,178.3514
2022-09-12,fcre,OGM_poc,19.1563
2022-09-12,fcre,OGM_don,1.0531
2022-09-12,fcre,OGM_donr,9.4776
2022-09-12,fcre,OGM_pon,2.1061
2022-09-12,fcre,OGM_dop,0.0327
2022-09-12,fcre,OGM_dopr,0.2942
2022-09-12,fcre,OGM_pop,0.7629
2022-09-12,fcre,PHY_cyano,0
2022-09-12,fcre,PHY_green,0
2022-09-12,fcre,PHY_diatom,0
2022-09-13,fcre,FLOW,0.0052
2022-09-13,fcre,TEMP,17.4855
2022-09-13,fcre,SALT,0
2022-09-13,fcre,OXY_oxy,281.249
2022-09-13,fcre,CAR_dic,89.4982
2022-09-13,fcre,CAR_ch4,NA
2022-09-13,fcre,SIL_rsi,120.9013
2022-09-13,fcre,NIT_amm,1.4412
2022-09-13,fcre,NIT_nit,1.0968
2022-09-13,fcre,PHS_frp,0.2106
2022-09-13,fcre,OGM_doc,13.3222
2022-09-13,fcre,OGM_docr,179.8501
2022-09-13,fcre,OGM_poc,19.3172
2022-09-13,fcre,OGM_don,1.0504
2022-09-13,fcre,OGM_donr,9.4536
2022-09-13,fcre,OGM_pon,2.1008
2022-09-13,fcre,OGM_dop,0.0331
2022-09-13,fcre,OGM_dopr,0.298
2022-09-13,fcre,OGM_pop,0.7725
2022-09-13,fcre,PHY_cyano,0
2022-09-13,fcre,PHY_green,0
2022-09-13,fcre,PHY_diatom,0
2022-09-14,fcre,FLOW,0.0039
2022-09-14,fcre,TEMP,16.2016
2022-09-14,fcre,SALT,0
2022-09-14,fcre,OXY_oxy,288.9334
2022-09-14,fcre,CAR_dic,89.7912
2022-09-14,fcre,CAR_ch4,NA
2022-09-14,fcre,SIL_rsi,120.9013
2022-09-14,fcre,NIT_amm,1.3645
2022-09-14,fcre,NIT_nit,1.062
2022-09-14,fcre,PHS_frp,0.209
2022-09-14,fcre,OGM_doc,13.2582
2022-09-14,fcre,OGM_docr,178.9855
2022-09-14,fcre,OGM_poc,19.2244
2022-09-14,fcre,OGM_don,1.1348
2022-09-14,fcre,OGM_donr,10.2131
2022-09-14,fcre,OGM_pon,2.2696
2022-09-14,fcre,OGM_dop,0.0352
2022-09-14,fcre,OGM_dopr,0.3169
2022-09-14,fcre,OGM_pop,0.8216
2022-09-14,fcre,PHY_cyano,0
2022-09-14,fcre,PHY_green,0
2022-09-14,fcre,PHY_diatom,0
2022-09-15,fcre,FLOW,0.0036
2022-09-15,fcre,TEMP,16.5145
2022-09-15,fcre,SALT,0
2022-09-15,fcre,OXY_oxy,287.0263
2022-09-15,fcre,CAR_dic,90.0842
2022-09-15,fcre,CAR_ch4,NA
2022-09-15,fcre,SIL_rsi,120.9013
2022-09-15,fcre,NIT_amm,1.2877
2022-09-15,fcre,NIT_nit,1.0273
2022-09-15,fcre,PHS_frp,0.2073
2022-09-15,fcre,OGM_doc,13.1941
2022-09-15,fcre,OGM_docr,178.1208
2022-09-15,fcre,OGM_poc,19.1315
2022-09-15,fcre,OGM_don,1.2192
2022-09-15,fcre,OGM_donr,10.9725
2022-09-15,fcre,OGM_pon,2.4383
2022-09-15,fcre,OGM_dop,0.0373
2022-09-15,fcre,OGM_dopr,0.3359
2022-09-15,fcre,OGM_pop,0.8708
2022-09-15,fcre,PHY_cyano,0
2022-09-15,fcre,PHY_green,0
2022-09-15,fcre,PHY_diatom,0
2022-09-16,fcre,FLOW,0.0035
2022-09-16,fcre,TEMP,17.071
2022-09-16,fcre,SALT,0
2022-09-16,fcre,OXY_oxy,283.6893
2022-09-16,fcre,CAR_dic,90.3771
2022-09-16,fcre,CAR_ch4,NA
2022-09-16,fcre,SIL_rsi,120.9013
2022-09-16,fcre,NIT_amm,1.211
2022-09-16,fcre,NIT_nit,0.9926
2022-09-16,fcre,PHS_frp,0.2057
2022-09-16,fcre,OGM_doc,13.1301
2022-09-16,fcre,OGM_docr,177.2561
2022-09-16,fcre,OGM_poc,19.0386
2022-09-16,fcre,OGM_don,1.3036
2022-09-16,fcre,OGM_donr,11.732
2022-09-16,fcre,OGM_pon,2.6071
2022-09-16,fcre,OGM_dop,0.0394
2022-09-16,fcre,OGM_dopr,0.3548
2022-09-16,fcre,OGM_pop,0.9199
2022-09-16,fcre,PHY_cyano,0
2022-09-16,fcre,PHY_green,0
2022-09-16,fcre,PHY_diatom,0
2022-09-17,fcre,FLOW,0.0034
2022-09-17,fcre,TEMP,17.053
2022-09-17,fcre,SALT,0
2022-09-17,fcre,OXY_oxy,283.7963
2022-09-17,fcre,CAR_dic,90.6701
2022-09-17,fcre,CAR_ch4,NA
2022-09-17,fcre,SIL_rsi,120.9013
2022-09-17,fcre,NIT_amm,1.1342
2022-09-17,fcre,NIT_nit,0.9578
2022-09-17,fcre,PHS_frp,0.2041
2022-09-17,fcre,OGM_doc,13.066
2022-09-17,fcre,OGM_docr,176.3915
