datetime,site_id,variable,observation
2013-05-21,fcre,OGM_docr,202.2247
2013-05-21,fcre,OGM_poc,21.7204
2013-05-21,fcre,OGM_don,1.1641
2013-05-21,fcre,OGM_donr,10.477
2013-05-21,fcre,OGM_pon,2.3282
2013-05-21,fcre,OGM_dop,0.032
2013-05-21,fcre,OGM_dopr,0.2877
2013-05-21,fcre,OGM_pop,0.7458
2013-05-21,fcre,PHY_cyano,0
2013-05-21,fcre,PHY_green,0
2013-05-21,fcre,PHY_diatom,0
2013-05-22,fcre,FLOW,0.0145
2013-05-22,fcre,TEMP,16.0209
2013-05-22,fcre,SALT,0
2013-05-22,fcre,OXY_oxy,290.0446
2013-05-22,fcre,CAR_dic,64.8294
2013-05-22,fcre,CAR_ch4,NA
2013-05-22,fcre,SIL_rsi,120.9013
2013-05-22,fcre,NIT_amm,0.3249
2013-05-22,fcre,NIT_nit,0.8601
2013-05-22,fcre,PHS_frp,0.1403
2013-05-22,fcre,OGM_doc,14.9783
2013-05-22,fcre,OGM_docr,202.2069
2013-05-22,fcre,OGM_poc,21.7185
2013-05-22,fcre,OGM_don,1.1625
2013-05-22,fcre,OGM_donr,10.4627
2013-05-22,fcre,OGM_pon,2.325
2013-05-22,fcre,OGM_dop,0.0295
2013-05-22,fcre,OGM_dopr,0.2656
2013-05-22,fcre,OGM_pop,0.6887
2013-05-22,fcre,PHY_cyano,0
2013-05-22,fcre,PHY_green,0
2013-05-22,fcre,PHY_diatom,0
2013-05-23,fcre,FLOW,0.0142
2013-05-23,fcre,TEMP,15.6654
2013-05-23,fcre,SALT,0
2013-05-23,fcre,OXY_oxy,292.2542
2013-05-23,fcre,CAR_dic,64.8416
2013-05-23,fcre,CAR_ch4,NA
2013-05-23,fcre,SIL_rsi,120.9013
2013-05-23,fcre,NIT_amm,0.3158
2013-05-23,fcre,NIT_nit,0.877
2013-05-23,fcre,PHS_frp,0.1408
2013-05-23,fcre,OGM_doc,14.977
2013-05-23,fcre,OGM_docr,202.1891
2013-05-23,fcre,OGM_poc,21.7166
2013-05-23,fcre,OGM_don,1.1609
2013-05-23,fcre,OGM_donr,10.4483
2013-05-23,fcre,OGM_pon,2.3218
2013-05-23,fcre,OGM_dop,0.0271
2013-05-23,fcre,OGM_dopr,0.2436
2013-05-23,fcre,OGM_pop,0.6315
2013-05-23,fcre,PHY_cyano,0
2013-05-23,fcre,PHY_green,0
2013-05-23,fcre,PHY_diatom,0
2013-05-24,fcre,FLOW,0.0137
2013-05-24,fcre,TEMP,13.6083
2013-05-24,fcre,SALT,0
2013-05-24,fcre,OXY_oxy,305.652
2013-05-24,fcre,CAR_dic,64.8539
2013-05-24,fcre,CAR_ch4,NA
2013-05-24,fcre,SIL_rsi,120.9013
2013-05-24,fcre,NIT_amm,0.3068
2013-05-24,fcre,NIT_nit,0.8938
2013-05-24,fcre,PHS_frp,0.1413
2013-05-24,fcre,OGM_doc,14.9757
2013-05-24,fcre,OGM_docr,202.1713
2013-05-24,fcre,OGM_poc,21.7147
2013-05-24,fcre,OGM_don,1.1593
2013-05-24,fcre,OGM_donr,10.4339
2013-05-24,fcre,OGM_pon,2.3187
2013-05-24,fcre,OGM_dop,0.0276
2013-05-24,fcre,OGM_dopr,0.2487
2013-05-24,fcre,OGM_pop,0.6447
2013-05-24,fcre,PHY_cyano,0
2013-05-24,fcre,PHY_green,0
2013-05-24,fcre,PHY_diatom,0
2013-05-25,fcre,FLOW,0.0126
2013-05-25,fcre,TEMP,11.8221
2013-05-25,fcre,SALT,0
2013-05-25,fcre,OXY_oxy,318.2012
2013-05-25,fcre,CAR_dic,64.8662
2013-05-25,fcre,CAR_ch4,NA
2013-05-25,fcre,SIL_rsi,120.9013
2013-05-25,fcre,NIT_amm,0.2978
2013-05-25,fcre,NIT_nit,0.9107
2013-05-25,fcre,PHS_frp,0.1418
2013-05-25,fcre,OGM_doc,14.9743
2013-05-25,fcre,OGM_docr,202.1535
2013-05-25,fcre,OGM_poc,21.7128
2013-05-25,fcre,OGM_don,1.1577
2013-05-25,fcre,OGM_donr,10.4196
2013-05-25,fcre,OGM_pon,2.3155
2013-05-25,fcre,OGM_dop,0.0282
2013-05-25,fcre,OGM_dopr,0.2538
2013-05-25,fcre,OGM_pop,0.6579
2013-05-25,fcre,PHY_cyano,0
2013-05-25,fcre,PHY_green,0
2013-05-25,fcre,PHY_diatom,0
2013-05-26,fcre,FLOW,0.0121
2013-05-26,fcre,TEMP,12.7024
2013-05-26,fcre,SALT,0
2013-05-26,fcre,OXY_oxy,311.9045
2013-05-26,fcre,CAR_dic,64.8785
2013-05-26,fcre,CAR_ch4,NA
2013-05-26,fcre,SIL_rsi,120.9013
2013-05-26,fcre,NIT_amm,0.2888
2013-05-26,fcre,NIT_nit,0.9276
2013-05-26,fcre,PHS_frp,0.1423
2013-05-26,fcre,OGM_doc,14.973
2013-05-26,fcre,OGM_docr,202.1357
2013-05-26,fcre,OGM_poc,21.7109
2013-05-26,fcre,OGM_don,1.1561
2013-05-26,fcre,OGM_donr,10.4052
2013-05-26,fcre,OGM_pon,2.3123
2013-05-26,fcre,OGM_dop,0.0288
2013-05-26,fcre,OGM_dopr,0.2589
2013-05-26,fcre,OGM_pop,0.6712
2013-05-26,fcre,PHY_cyano,0
2013-05-26,fcre,PHY_green,0
2013-05-26,fcre,PHY_diatom,0
2013-05-27,fcre,FLOW,0.0117
2013-05-27,fcre,TEMP,13.0189
2013-05-27,fcre,SALT,0
2013-05-27,fcre,OXY_oxy,309.6947
2013-05-27,fcre,CAR_dic,64.8907
2013-05-27,fcre,CAR_ch4,NA
2013-05-27,fcre,SIL_rsi,120.9013
2013-05-27,fcre,NIT_amm,0.2797
2013-05-27,fcre,NIT_nit,0.9445
2013-05-27,fcre,PHS_frp,0.1428
2013-05-27,fcre,OGM_doc,14.9717
2013-05-27,fcre,OGM_docr,202.118
2013-05-27,fcre,OGM_poc,21.709
2013-05-27,fcre,OGM_don,1.1545
2013-05-27,fcre,OGM_donr,10.3908
2013-05-27,fcre,OGM_pon,2.3091
2013-05-27,fcre,OGM_dop,0.0293
2013-05-27,fcre,OGM_dopr,0.264
2013-05-27,fcre,OGM_pop,0.6844
2013-05-27,fcre,PHY_cyano,0
2013-05-27,fcre,PHY_green,0
2013-05-27,fcre,PHY_diatom,0
2013-05-28,fcre,FLOW,0.0118
2013-05-28,fcre,TEMP,14.8891
2013-05-28,fcre,SALT,0
2013-05-28,fcre,OXY_oxy,297.1853
2013-05-28,fcre,CAR_dic,64.903
2013-05-28,fcre,CAR_ch4,NA
2013-05-28,fcre,SIL_rsi,120.9013
2013-05-28,fcre,NIT_amm,0.2707
2013-05-28,fcre,NIT_nit,0.9614
2013-05-28,fcre,PHS_frp,0.1432
2013-05-28,fcre,OGM_doc,14.9704
2013-05-28,fcre,OGM_docr,202.1002
2013-05-28,fcre,OGM_poc,21.7071
2013-05-28,fcre,OGM_don,1.1529
2013-05-28,fcre,OGM_donr,10.3765
2013-05-28,fcre,OGM_pon,2.3059
2013-05-28,fcre,OGM_dop,0.0299
2013-05-28,fcre,OGM_dopr,0.2691
2013-05-28,fcre,OGM_pop,0.6976
2013-05-28,fcre,PHY_cyano,0
2013-05-28,fcre,PHY_green,0
2013-05-28,fcre,PHY_diatom,0
2013-05-29,fcre,FLOW,0.0117
2013-05-29,fcre,TEMP,16.2523
2013-05-29,fcre,SALT,0
2013-05-29,fcre,OXY_oxy,288.6227
2013-05-29,fcre,CAR_dic,64.9153
2013-05-29,fcre,CAR_ch4,NA
2013-05-29,fcre,SIL_rsi,120.9013
2013-05-29,fcre,NIT_amm,0.2617
2013-05-29,fcre,NIT_nit,0.9782
2013-05-29,fcre,PHS_frp,0.1437
2013-05-29,fcre,OGM_doc,14.9691
2013-05-29,fcre,OGM_docr,202.0824
2013-05-29,fcre,OGM_poc,21.7051
2013-05-29,fcre,OGM_don,1.1513
2013-05-29,fcre,OGM_donr,10.3621
2013-05-29,fcre,OGM_pon,2.3027
2013-05-29,fcre,OGM_dop,0.0305
2013-05-29,fcre,OGM_dopr,0.2742
2013-05-29,fcre,OGM_pop,0.7108
2013-05-29,fcre,PHY_cyano,0
2013-05-29,fcre,PHY_green,0
2013-05-29,fcre,PHY_diatom,0
2013-05-30,fcre,FLOW,0.0114
2013-05-30,fcre,TEMP,16.8169
2013-05-30,fcre,SALT,0
2013-05-30,fcre,OXY_oxy,285.2045
2013-05-30,fcre,CAR_dic,64.9276
2013-05-30,fcre,CAR_ch4,NA
2013-05-30,fcre,SIL_rsi,120.9013
2013-05-30,fcre,NIT_amm,0.2527
2013-05-30,fcre,NIT_nit,0.9951
2013-05-30,fcre,PHS_frp,0.1442
2013-05-30,fcre,OGM_doc,14.9677
2013-05-30,fcre,OGM_docr,202.0646
2013-05-30,fcre,OGM_poc,21.7032
2013-05-30,fcre,OGM_don,1.1497
2013-05-30,fcre,OGM_donr,10.3477
