time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0064,19.1885,outflow,1
2018-10-06,0.0083,19.1589,outflow,1
2018-10-07,0.0093,19.204,outflow,1
2018-10-08,0.013,19.1327,outflow,1
2018-10-09,0.0142,19.1009,outflow,1
2018-10-10,0.0171,19.0329,outflow,1
2018-10-11,0.018,18.9949,outflow,1
2018-10-12,0.0235,18.9592,outflow,1
2018-10-13,0.0267,18.9036,outflow,1
2018-10-14,0.0437,18.7481,outflow,1
2018-10-15,0.0425,18.1629,outflow,1
2018-10-16,0.0414,17.5973,outflow,1
2018-10-17,0.0404,17.1628,outflow,1
2018-10-18,0.0394,16.7159,outflow,1
2018-10-19,0.0384,16.2328,outflow,1
2018-10-20,0.0375,15.8739,outflow,1
