time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0061,19.1868,outflow,1
2018-10-06,0.0081,19.1462,outflow,1
2018-10-07,0.0088,19.14,outflow,1
2018-10-08,0.012,19.0824,outflow,1
2018-10-09,0.0158,19.0281,outflow,1
2018-10-10,0.018,18.9617,outflow,1
2018-10-11,0.0188,18.9408,outflow,1
2018-10-12,0.0192,18.9354,outflow,1
2018-10-13,0.0241,18.7817,outflow,1
2018-10-14,0.0302,18.3217,outflow,1
2018-10-15,0.0298,17.9975,outflow,1
2018-10-16,0.0293,17.6787,outflow,1
2018-10-17,0.0288,17.3684,outflow,1
2018-10-18,0.0286,17.2373,outflow,1
2018-10-19,0.0322,17.1835,outflow,1
2018-10-20,0.0316,16.938,outflow,1
