time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0063,19.1825,outflow,1
2018-10-06,0.0081,19.159,outflow,1
2018-10-07,0.0093,19.137,outflow,1
2018-10-08,0.0115,19.1175,outflow,1
2018-10-09,0.0132,19.0944,outflow,1
2018-10-10,0.0143,19.0545,outflow,1
2018-10-11,0.0374,18.9824,outflow,1
2018-10-12,0.0369,18.8104,outflow,1
2018-10-13,0.036,18.4926,outflow,1
2018-10-14,0.0353,18.1366,outflow,1
2018-10-15,0.0346,17.9603,outflow,1
2018-10-16,0.0339,17.5908,outflow,1
2018-10-17,0.0332,17.12,outflow,1
2018-10-18,0.0326,16.6176,outflow,1
2018-10-19,0.032,16.1889,outflow,1
2018-10-20,0.0314,15.8636,outflow,1
