time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0063,19.1932,outflow,1
2018-10-06,0.0081,19.1616,outflow,1
2018-10-07,0.0089,19.1576,outflow,1
2018-10-08,0.0115,19.0959,outflow,1
2018-10-09,0.014,19.0605,outflow,1
2018-10-10,0.015,19.0025,outflow,1
2018-10-11,0.0207,18.9649,outflow,1
2018-10-12,0.0212,18.8909,outflow,1
2018-10-13,0.0212,18.611,outflow,1
2018-10-14,0.0213,18.3864,outflow,1
2018-10-15,0.0213,18.147,outflow,1
2018-10-16,0.0213,17.6045,outflow,1
2018-10-17,0.0212,17.1565,outflow,1
2018-10-18,0.0212,16.7149,outflow,1
2018-10-19,0.0212,16.341,outflow,1
2018-10-20,0.0212,15.9098,outflow,1
